Id,Dataset,Classifier,Measure,Type,Mean,Std
8,new-thyroid,kNN,F1-score,Standard,0.8929126984126984,0.13944660155887262
9,new-thyroid,kNN,F1-score,Normalized,0.9846342592592591,0.03441579641178407
8,new-thyroid,kNN,MCC,Standard,0.8885472640371553,0.14011181270067313
9,new-thyroid,kNN,MCC,Normalized,0.9884814814814814,0.024686105922893872
8,new-thyroid,kNN,Precision,Standard,0.977,0.07791662210337406
9,new-thyroid,kNN,Precision,Normalized,0.9966018518518518,0.012560931739836795
8,new-thyroid,kNN,Accuracy,Standard,0.970699134199134,0.03483780394786097
9,new-thyroid,kNN,Accuracy,Normalized,0.9916682098765434,0.013480298142991098
8,new-thyroid,SVM,G-mean,Standard,0.9549070674374487,0.12442236105524189
9,new-thyroid,SVM,G-mean,Normalized,0.9762901234567901,0.10488237100412555
8,new-thyroid,SVM,Kappa,Standard,0.9403473633374861,0.1406238963132387
9,new-thyroid,SVM,Kappa,Normalized,0.9907175925925926,0.051233221642099896
8,new-thyroid,SVM,Bal. acc.,Standard,0.96359477124183,0.08227836648343767
9,new-thyroid,SVM,Bal. acc.,Normalized,0.9831342592592592,0.05971814790948064
8,new-thyroid,SVM,Recall,Standard,0.93,0.16445195178058683
9,new-thyroid,SVM,Recall,Normalized,0.9302777777777778,0.16289695106620833
8,new-thyroid,SVM,F1-score,Standard,0.9470238095238096,0.13280765491807126
9,new-thyroid,SVM,F1-score,Normalized,0.9851574074074074,0.09806991160253177
8,new-thyroid,SVM,MCC,Standard,0.9448193130157412,0.13260386517124115
9,new-thyroid,SVM,MCC,Normalized,0.9912746913580247,0.05062940431898111
8,new-thyroid,SVM,Precision,Standard,0.9790000000000001,0.10958558299338465
9,new-thyroid,SVM,Precision,Normalized,0.988800925925926,0.09680447497049982
8,new-thyroid,SVM,Accuracy,Standard,0.9864653679653679,0.02686778419296083
9,new-thyroid,SVM,Accuracy,Normalized,0.9963641975308641,0.010006673584777389
8,new-thyroid,NB,G-mean,Standard,0.9843608679646906,0.018638860211859145
9,new-thyroid,NB,G-mean,Normalized,0.9984027777777779,0.0023068148799287188
8,new-thyroid,NB,Kappa,Standard,0.9169804515951779,0.09699509817475961
9,new-thyroid,NB,Kappa,Normalized,0.9948256172839507,0.0073767838885783945
8,new-thyroid,NB,Bal. acc.,Standard,0.9846568627450981,0.018209822149302137
9,new-thyroid,NB,Bal. acc.,Normalized,0.9984305555555557,0.0022298239963884363
8,new-thyroid,NB,Recall,Standard,1.0,0.0
9,new-thyroid,NB,Recall,Normalized,1.0,0.0
8,new-thyroid,NB,F1-score,Standard,0.9323571428571431,0.07905198998242491
9,new-thyroid,NB,F1-score,Normalized,0.9950262345679011,0.007155465154996015
8,new-thyroid,NB,MCC,Standard,0.923618242994853,0.08823267929241578
9,new-thyroid,NB,MCC,Normalized,0.9953117283950615,0.00649989228217875
8,new-thyroid,NB,Precision,Standard,0.8831666666666667,0.1336765374576506
9,new-thyroid,NB,Precision,Normalized,0.9834074074074074,0.019881089408012392
8,new-thyroid,NB,Accuracy,Standard,0.9742770562770562,0.03056894336937473
9,new-thyroid,NB,Accuracy,Normalized,0.9934583333333336,0.009768991343656105
8,new-thyroid,GBM,G-mean,Standard,0.914757709706506,0.13716682456507448
9,new-thyroid,GBM,G-mean,Normalized,0.9601358024691359,0.11022591035952568
8,new-thyroid,GBM,Kappa,Standard,0.868351132997858,0.16581498488464202
9,new-thyroid,GBM,Kappa,Normalized,0.9838703703703705,0.05299169915987439
8,new-thyroid,GBM,Bal. acc.,Standard,0.9273120915032679,0.09731612802985638
9,new-thyroid,GBM,Bal. acc.,Normalized,0.9690478395061729,0.06628959023245092
8,new-thyroid,GBM,Recall,Standard,0.8675000000000002,0.1961770034093361
9,new-thyroid,GBM,Recall,Normalized,0.8677777777777779,0.19496438421186343
8,new-thyroid,GBM,F1-score,Standard,0.8855238095238094,0.15233196633255364
9,new-thyroid,GBM,F1-score,Normalized,0.9775833333333331,0.09910393530026025
8,new-thyroid,GBM,MCC,Standard,0.8789448134356616,0.15458412783761383
9,new-thyroid,GBM,MCC,Normalized,0.9849120370370369,0.05244852470537188
8,new-thyroid,GBM,Precision,Standard,0.9381666666666666,0.14769140123920552
9,new-thyroid,GBM,Precision,Normalized,0.9823935185185185,0.09798894003318515
8,new-thyroid,GBM,Accuracy,Standard,0.9677142857142857,0.03672258573504573
9,new-thyroid,GBM,Accuracy,Normalized,0.9904830246913582,0.017270911844982913
8,new-thyroid,CART,G-mean,Standard,0.9132899231966968,0.13759564651181894
9,new-thyroid,CART,G-mean,Normalized,0.9595555555555557,0.11137376295125193
8,new-thyroid,CART,Kappa,Standard,0.8466248348060844,0.169280019698258
9,new-thyroid,CART,Kappa,Normalized,0.981483024691358,0.053940033141064214
8,new-thyroid,CART,Bal. acc.,Standard,0.9256127450980393,0.09789295837491785
9,new-thyroid,CART,Bal. acc.,Normalized,0.9682993827160494,0.06816684225669768
8,new-thyroid,CART,Recall,Standard,0.8741666666666668,0.19807931912914753
9,new-thyroid,CART,Recall,Normalized,0.8744444444444445,0.1968690107848551
